Date,재고순환지표,경제심리지수,기계류내수출,건설수주액,수출입물가비율,코스피,장단기,외환보유액,뉴스심리지수,원달러,원엔,원위안,CD,유가,G20,미장단기,거래량,구리,천연가스,은,금,종가
2008-01,5.0,112.1,98.5,10384.8,105.1,1853.7,0.67,261870733.0,98.54,936.8,8.5496,128.46,5.84,26.816444,101.5589,1.03,11548.0,3.064,7.85,15.29,860.0,1000.0
2008-02,3.9,112.0,98.4,9246.1,103.7,1775.3,0.53,262364808.0,97.88,944.1,8.8572,131.45,5.46,26.27693,101.2868,1.53,13564.0,3.273,7.74,16.916,913.5,897.97
2008-03,3.2,110.5,98.4,9434.4,102.2,1691.0,0.31,264245660.0,88.12,946.7,9.1692,133.29,5.17,26.771666,100.9743,1.93,9948.0,3.9285,9.346,20.18,984.2,873.82
2008-04,0.4,109.4,98.9,10121.7,100.7,1705.8,0.14,260482546.0,103.73,983.5,9.6579,140.32,5.39,27.311699,100.6014,1.77,13964.0,3.8065,9.724,16.935,887.8,965.78
2008-05,-1.6,106.1,98.5,9955.6,98.6,1758.2,0.22,258198958.0,93.06,1009.1,9.6611,144.41,5.36,25.48176,100.1452,1.41,16690.0,3.6945,10.561,16.205,850.9,1056.74
2008-06,-5.7,103.4,97.2,8975.2,96.7,1793.9,0.42,258097988.0,76.31,1033.6,9.8942,149.11,5.36,25.621851,99.59329,1.47,14445.0,3.5965,11.969,16.958,897.0,1031.71
2008-07,-7.7,98.6,97.2,8209.2,94.9,1724.9,0.76,247522666.0,79.55,1048.9,9.8883,153.18,5.37,24.305025,98.94109,1.38,11848.0,3.9105,13.505,18.29,944.5,932.16
2008-08,-9.3,98.0,97.2,8085.4,95.1,1621.8,0.83,243200303.0,75.88,1015.9,9.4349,148.49,5.69,26.22304,98.20908,1.46,8587.0,3.5785,9.389,17.571,917.5,914.44
2008-09,-10.9,97.7,98.1,7754.3,96.4,1517.9,0.76,239671786.0,70.51,1115.9,10.3304,163.51,5.79,26.9046815,97.42838,1.48,15700.0,3.33,7.602,13.3915,822.85,863.49
2008-10,-14.6,94.0,97.2,8074.4,99.3,1395.3,0.51,212252810.0,60.04,1187.3,11.2247,173.47,5.85,26.885315,96.66338,1.95,28483.0,2.7895,7.728,12.77,887.3,880.53
2008-11,-20.4,83.8,95.9,7672.5,102.3,1240.8,0.7,200505915.0,65.53,1239.6,12.7344,181.63,5.97,22.523048,96.0173,2.51,48149.0,1.84,6.838,9.756,726.8,678.15
2008-12,-24.2,71.6,92.6,9240.8,105.2,1130.2,0.83,201223413.0,72.73,1439.4,15.4511,209.22,5.45,21.778536,95.57029,1.82,25947.0,1.631,6.604,9.366,776.8,575.08
2009-01,-24.9,66.7,87.7,8736.4,106.2,1115.1,1.25,201741003.0,76.45,1316.5,14.323,193.61,3.93,24.57575,95.36561,1.58,20461.0,1.461,5.971,11.49,879.5,628.67
2009-02,-18.1,66.5,85.6,9141.8,106.4,1137.0,1.7,201534628.0,80.19,1390.1,15.5587,203.36,2.96,22.954964,95.42651,1.87,18892.0,1.431,4.557,12.425,907.2,631.95
2009-03,-11.7,70.6,85.3,8213.8,106.3,1145.6,2.27,206340481.0,89.93,1570.2,16.1515,229.49,2.49,20.742956,95.71786,2.02,19261.0,1.516,4.152,13.07,940.0,577.77
2009-04,-4.6,78.1,88.0,8739.9,107.4,1200.8,2.63,212478021.0,99.01,1357.1,13.9265,200.98,2.43,20.978424,96.20185,1.85,35410.0,1.849,3.695,12.989,927.7,709.1
2009-05,0.0,86.5,87.5,8607.6,107.6,1287.7,2.66,226766307.0,99.85,1267.5,12.8339,185.93,2.41,22.378937,96.81318,2.29,43259.0,2.144,3.725,13.113,902.2,833.44
2009-06,7.3,95.0,90.4,8874.9,106.6,1372.6,2.68,231734629.0,101.13,1232.3,12.7687,180.69,2.41,24.94854,97.48813,2.74,53655.0,2.319,4.249,15.749,980.0,878.96
2009-07,12.1,98.1,90.1,8506.2,105.3,1418.6,2.7,237509692.0,108.91,1257.0,13.0379,184.25,2.41,25.92606,98.16209,2.5,33586.0,2.3305,3.795,13.76,941.3,880.13
2009-08,14.6,102.3,90.5,7955.0,103.8,1477.7,2.8,245458538.0,105.46,1212.5,12.7474,177.77,2.41,26.07795,98.78104,2.48,34387.0,2.7385,4.031,14.273,958.8,1006.47
2009-09,15.6,105.8,89.7,7996.0,103.5,1565.8,2.82,254247250.0,109.23,1245.6,13.4328,182.65,2.57,25.951408,99.31869,2.46,31550.0,2.8185,2.821,15.051,956.5,1123.29
2009-10,17.3,109.9,91.2,9481.7,102.2,1622.7,2.9,264187192.0,106.15,1173.2,13.1045,172.02,2.76,27.412037,99.76314,2.34,35672.0,2.737,4.466,16.44,1000.7,1127.68
2009-11,22.6,110.0,94.1,11795.4,101.0,1624.5,2.87,270892261.0,105.4,1185.4,13.1323,173.77,2.79,28.612791,100.1177,2.53,25694.0,2.945,4.824,16.45,1054.0,1103.06
2009-12,28.1,110.2,97.2,11743.0,99.9,1620.2,2.84,269994736.0,114.77,1154.2,13.3403,169.3,2.79,31.175951,100.3823,2.61,22466.0,3.231,4.762,19.201,1200.2,1092.66
2010-01,31.3,110.5,99.4,11105.5,99.3,1637.4,2.81,273693584.0,113.22,1150.1,12.423,168.42,2.88,30.121595,100.5631,2.76,16909.0,3.406,5.884,17.463,1118.3,1227.93
2010-02,24.4,113.1,100.3,9130.6,99.6,1642.6,2.79,270659721.0,104.91,1165.5,12.8662,170.83,2.88,29.225973,100.664,2.82,21369.0,3.0835,5.434,16.671,1105.0,1153.81
2010-03,16.2,114.8,101.0,8394.4,99.3,1648.9,2.69,272331061.0,108.95,1148.1,12.9,167.73,2.88,30.659122,100.711,2.81,16011.0,3.4115,4.708,17.064,1137.4,1169.97
2010-04,7.6,115.9,104.4,7481.8,99.0,1664.9,2.55,278873477.0,112.77,1125.0,11.9996,165.0,2.78,31.37203,100.7026,2.84,18132.0,3.584,4.086,17.904,1126.1,1222.82
2010-05,4.8,115.8,108.4,8134.6,98.2,1681.4,2.43,270221038.0,107.91,1118.2,11.829,163.89,2.45,31.00301,100.6494,2.72,13112.0,3.2935,4.0,18.84,1183.3,1293.87
2010-06,0.7,115.6,111.4,8234.9,98.1,1690.2,2.42,274218706.0,109.93,1216.1,13.3666,178.14,2.45,28.302616,100.5863,2.51,15253.0,3.00475,4.469,18.57,1226.9,1312.15
2010-07,-2.3,115.0,111.8,8787.2,98.1,1690.4,2.35,285957848.0,109.59,1227.1,14.0151,181.09,2.46,29.005295,100.5533,2.33,14570.0,2.877,4.854,17.79,1206.7,1362.07
2010-08,-4.4,114.1,113.2,7402.6,97.3,1728.4,2.22,285353120.0,105.05,1172.1,13.5673,173.23,2.63,28.973179,100.572,2.43,13823.0,3.3895,4.701,18.438,1185.4,1474.62
2010-09,-6.2,113.8,114.0,7694.6,96.1,1769.7,1.96,289775214.0,109.98,1184.1,14.0285,173.91,2.66,27.740208,100.6397,2.08,15371.0,3.4775,3.762,19.379,1248.1,1465.26
2010-10,-7.2,112.8,113.1,6143.0,94.5,1822.6,1.68,293347790.0,108.51,1130.1,13.5913,169.06,2.66,28.351143,100.742,2.12,15184.0,3.6905,3.797,22.06,1317.8,1648.14
2010-11,-7.8,112.7,112.0,6457.5,93.3,1876.7,1.57,290230708.0,110.97,1117.2,13.8956,167.16,2.66,28.804438,100.8565,2.32,18353.0,3.785,3.832,24.573,1350.6,1823.81
2010-12,-7.8,111.9,110.4,6039.9,91.9,1939.0,1.53,291570661.0,112.2,1149.0,13.658,172.59,2.8,28.79324,100.9565,2.44,10890.0,3.9475,4.269,28.403,1388.3,1835.62
2011-01,-3.2,111.8,113.2,6642.7,90.6,2006.3,1.61,295956219.0,115.44,1123.8,13.7614,170.67,2.8,29.747673,101.0253,2.75,14448.0,4.4575,4.65,31.125,1422.9,1877.66
2011-02,1.4,111.7,114.3,6665.8,89.6,2032.3,1.61,297667285.0,102.18,1113.2,13.6975,168.88,3.05,28.792562,101.042,2.87,14640.0,4.547,4.347,28.52,1340.3,1807.19
